name_vacancy,URL,name_company,zp_min,zp_max
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Backend python/Django разработчик,https://hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000 
Программист Python,https://hh.ru/vacancy/34247032?query=python,ООО Дефенс Групп,100000,150000 
Программист Python,https://hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург",80000,150000 
Junior Quantitative Researcher,https://hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,250000,250000 
Backend python/Django разработчик,https://hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000 
Computer vision data scientist,https://hh.ru/vacancy/34068961?query=python," AROUND, Группа компаний",120000,140000 
Python разработчик,https://hh.ru/vacancy/34220194?query=python,ООО КРИПТОН,100000,140000 
Computer Vision / Data scientist CV,https://hh.ru/vacancy/34070637?query=python,ООО АлгоМост,100000,200000 
Разработчик Python,https://hh.ru/vacancy/34120963?query=python, Асимметрик VFX (Asymmetric VFX Studio),90000,150000 
Junior Python Developer,https://hh.ru/vacancy/33965018?query=python,ООО АКХ,30000,50000 
Data Engineering Team Lead (Python / C++),https://hh.ru/vacancy/34106577?query=python, DataFork,300000,400000 
Junior machine learning engineer,https://hh.ru/vacancy/33310553?query=python, Tech5,50000,130000 
Python backend developer,https://hh.ru/vacancy/34149732?query=python," AROUND, Группа компаний",120000,140000 
Разработчик Python/Django (junior/middle),https://hh.ru/vacancy/34126001?query=python, Zonesmart,50000,80000 
"Python developer, junior ML-engineer",https://hh.ru/vacancy/33953502?query=python,ООО Целус Менеджмент,45000,80000 
Python developer,https://hh.ru/vacancy/34005432?query=python, IVIDEON,160000,200000 
Программист Python,https://hh.ru/vacancy/34198397?query=python," Insilico Medicine, Inc",100000,200000 
Machine learning engineer,https://hh.ru/vacancy/33947694?query=python, Tech5,100000,200000 
Тестировщик программного обеспечения,https://hh.ru/vacancy/33787682?query=python,ООО БОЛЬШАЯ ТРОЙКА,60000,80000 
Python Web Developer,https://hh.ru/vacancy/33895741?query=python, Soshace,200000,300000 
Инженер-программист (Python),https://hh.ru/vacancy/34191366?query=python, ЭР-Телеком,80000,80000 
Программист Python,https://hh.ru/vacancy/33833014?query=python," Смарт Текнолоджис,ООО",100000,120000 
Python developer,https://hh.ru/vacancy/33811537?query=python, B2Broker Москва,150000,200000 
Разработчик Python,https://hh.ru/vacancy/33828496?query=python, Открытые Технологии,120000,150000 
Junior python-разработчик,https://hh.ru/vacancy/33725095?query=python, BR Lab,40000,80000 
Методист-эксперт Python,https://hh.ru/vacancy/33842117?query=python, Алгоритмика,130000,180000 
Back-end разработчик (стажер),https://hh.ru/vacancy/33709346?query=python,ООО Мед-Аск,10000,10000 
Разработчик Python / Django,https://hh.ru/vacancy/33917948?query=python, IT Gene,70000,80000 
Backend разработчик (Python / Django),https://hh.ru/vacancy/34065181?query=python,ООО «СТРОЙУЧЕТСЕРВИС»,80000,200000 
Программист Python Django (Middle),https://hh.ru/vacancy/34221879?query=python, BR Lab,100000,150000 
Junior Data Scientist / Quant / Business Intelligence Analyst,https://hh.ru/vacancy/33879836?query=python, Zamwell Asset Management,50000,120000 
Специалист по тестированию (можно с маленьким опытом работы),https://hh.ru/vacancy/33600122?query=python, CommuniGate Systems Russia,60000,80000 
Веб-разработчик,https://hh.ru/vacancy/33932812?query=python, NeoCommunications,70000,100000 
Full-stack разработчик Django / Python,https://hh.ru/vacancy/34169753?query=python,ООО Смартекс,120000,180000 
Аналитик данных / Data Scientist,https://hh.ru/vacancy/32377243?query=python, Открытые Технологии,120000,180000 
Старший программист Python,https://hh.ru/vacancy/32913880?query=python, Softline,120000,180000 
Web-разработчик full stack,https://hh.ru/vacancy/33791667?query=python,АО АСТ,150000,200000 
Тестировщик / QA Engineer (iOS),https://hh.ru/vacancy/33730040?query=python, Photo Lab,100000,150000 
Data Scientist (NLP) / Аналитик,https://hh.ru/vacancy/33775482?query=python, MillionAgents,75000,125000 
DevOps engineer,https://hh.ru/vacancy/34170874?query=python, ecomsolutions,2500 USD,3000 USD
QA / Тестировщик ПО,https://hh.ru/vacancy/33861235?query=python, IT-FACE,60000,100000 
Веб программист,https://hh.ru/vacancy/34075226?query=python, ИнтернетСофт,80000,150000 
Manual QA Engineer,https://hh.ru/vacancy/33978040?query=python, Postuf,60000,150000 
Web-программист,https://hh.ru/vacancy/34050191?query=python,"ЗАО Станкоинформзащита, НТЦ",80000,150000 
ГИС-картограф,https://hh.ru/vacancy/34124616?query=python,ООО Студия Транспортного Проектирования,50000,60000 
Senior QA Engineer/Team Lead (мануальное тестирование),https://hh.ru/vacancy/33320912?query=python,ООО СофтПро,200000,260000 
Back-end разработчик (Python),https://hh.ru/vacancy/34159959?query=python,ООО Когнитивные системы,80000,120000 
Python-разработчик / Data Engineer,https://hh.ru/vacancy/34103918?query=python,ООО РАБЛЗ,100000,250000 
NLP engineer / Data scientist NLP,https://hh.ru/vacancy/33767345?query=python,ООО АлгоМост,100000,250000 
QA Engineer (desktop),https://hh.ru/vacancy/33720158?query=python, IVIDEON,90000,130000 
Главный аналитик-математик (Data Analyst / Data Scientist),https://hh.ru/vacancy/30250856?query=python, Связной,180000,230000 
Senior Python developer (Cloud Services),https://hh.ru/vacancy/33998791?query=python, IVIDEON,180000,230000 
Front-end разработчик (web application),https://hh.ru/vacancy/34097595?query=python,ООО Аксилон Консалтинг,70000,100000 
Разработчик C++/cocos2d-x,https://hh.ru/vacancy/33925871?query=python, FUSION CORE,130000,170000 
GoLang разработчик,https://hh.ru/vacancy/32312098?query=python,ООО Управление Бизнесом,100000,200000 
Data Scientist / Аналитик,https://hh.ru/vacancy/33773165?query=python, Photo Lab,100000,150000 
Front-End разработчик,https://hh.ru/vacancy/34160300?query=python,ООО Когнитивные системы,80000,120000 
Программист - разработчик C# (Junior/Middle),https://hh.ru/vacancy/34194327?query=python, TEZ TOUR,60000,100000 
"Аналитик / Специалист по обработке данных (DP, Market Research)",https://hh.ru/vacancy/34020403?query=python, Profi Online Research,40000,80000 
Прикладной программист (Front-end программист),https://hh.ru/vacancy/33973777?query=python, AERODISK,100000,150000 
Senior QA Automation Engineer (Selenium),https://hh.ru/vacancy/33496369?query=python, Smart Development Ltd,2000 USD,3500 USD
PHP-программист/Front Vue.js,https://hh.ru/vacancy/34067583?query=python,ООО Флекскор,60000,150000 
С# Developer / Data Engineer,https://hh.ru/vacancy/33775060?query=python,ООО НОВОТЕХ,150000,200000 
Frontend-разработчик,https://hh.ru/vacancy/33909664?query=python,ООО Смартекс,100000,150000 
Frontend-разработчик,https://hh.ru/vacancy/33931015?query=python,ООО KTS Studio,100000,180000 
Программист-разработчик Node.js (JavaScript) + Python,https://hh.ru/vacancy/34072852?query=python,ООО Телеком-Биржа,100000,120000 
Инженер-программист,https://hh.ru/vacancy/33880655?query=python,ООО Софтлоджик Рус,60000,80000 
Программист С++,https://hh.ru/vacancy/33708805?query=python,ООО Финстарлабс,100000,130000 
"Программист-разработчик автономного коптера/дрона (STM32, C/C++)",https://hh.ru/vacancy/33792287?query=python, Marvelmind Robotics,80000,150000 
Backend-разработчик,https://hh.ru/vacancy/34082501?query=python,АО Мосинжстрой,130000,150000 
Программист C++,https://hh.ru/vacancy/34214819?query=python,ООО СКБ ПОТОК,75000,120000 
Full-Stack Web-Developer / Web-Master,https://hh.ru/vacancy/33671188?query=python, NPBFX Limited,100000,150000 
Golang ведущий разработчик,https://hh.ru/vacancy/33948043?query=python,ООО Эйчэфти Арбитраж,200000,250000 
Senior/Regular QA Manual Engineer,https://hh.ru/vacancy/33496315?query=python, Smart Development Ltd,1500 USD,2500 USD
Junior Web разработчик,https://hh.ru/vacancy/33929691?query=python, Carbon Soft,20000,60000 
Реверс-инжиниринг встраиваемого ПО (начинающий специалист),https://hh.ru/vacancy/33912287?query=python,"ЗАО Станкоинформзащита, НТЦ",25000,60000 
Программист-разработчик,https://hh.ru/vacancy/34167697?query=python,ООО Софтлоджик Рус,70000,100000 
Unreal Engine / C++ Developer,https://hh.ru/vacancy/33912669?query=python,ООО Метроком,70000,110000 
Реверс инженер мобильных приложений,https://hh.ru/vacancy/34247184?query=python,ООО Дефенс Групп,80000,150000 
"Программист Qt, C++",https://hh.ru/vacancy/34149249?query=python, ИнтернетСофт,80000,150000 
DevOps specialist,https://hh.ru/vacancy/34149230?query=python, Black Wall Group,70000,100000 
